Symbol,Name,Country,IPO Year,Volume,Sector,Industry
AA,Alcoa Corporation,NA,2016,4191643,Basic Industries,Aluminum
AAN,Aarons Holdings Company Inc.,United States,2020,332463,Technology,Diversified Commercial Services
AAT,American Assets Trust Inc.,United States,2011,151187,Consumer Services,Real Estate Investment Trusts
ABB,ABB Ltd,Switzerland,NA,1435963,Consumer Durables,Electrical Products
ABBV,AbbVie Inc.,United States,2012,8033158,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation,United States,NA,765767,Health Care,Other Pharmaceuticals
ABG,Asbury Automotive Group Inc,United States,2002,140108,Consumer Durables,Automotive Aftermarket
ABM,ABM Industries Incorporated,United States,NA,331386,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust,United States,2004,769692,Consumer Services,Real Estate Investment Trusts
ABT,Abbott Laboratories,United States,NA,4312998,Health Care,Major Pharmaceuticals
AC,Associated Capital Group Inc.,United States,2015,57463,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc.,NA,2018,427842,Capital Goods,Metal Fabrications
ACC,American Campus Communities Inc,United States,2004,781095,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation,United States,NA,367303,Consumer Durables,Publishing
ACI,Albertsons Companies Inc. Class A,United States,2020,1067378,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A,United States,2020,1439801,Capital Goods,Aerospace
ACII,Atlas Crest Investment Corp. II Class A,NA,2021,89210,Finance,Business Services
ACM,AECOM,United States,2007,1512120,Consumer Services,Military/Government/Technical
ACR,ACRES Commercial Realty Corp.,United States,NA,64844,Consumer Services,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation,United States,2012,575078,Consumer Services,Real Estate Investment Trusts
ADC,Agree Realty Corporation,United States,NA,374925,Consumer Services,Real Estate Investment Trusts
ADEX,Adit EdTech Acquisition Corp.,NA,2021,8403,Finance,Business Services
ADM,Archer-Daniels-Midland Company,United States,NA,1719805,Consumer Non-Durables,Packaged Foods
ADS,Alliance Data Systems Corporation,United States,2001,664139,Miscellaneous,Business Services
ADT,ADT Inc.,United States,2018,3015623,Consumer Services,Diversified Commercial Services
AEE,Ameren Corporation,United States,NA,1239137,Public Utilities,Power Generation
AEG,AEGON N.V.,Netherlands,NA,1121654,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company,United States,2003,551929,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited,Canada,NA,1137066,Basic Industries,Precious Metals
AEO,American Eagle Outfitters Inc.,United States,NA,3678103,Consumer Services,Clothing/Shoe/Accessory Stores
AES,The AES Corporation,United States,NA,6073247,Basic Industries,Electric Utilities: Central
AEVA,Aeva Technologies Inc.,NA,2020,986114,Capital Goods,Auto Parts:O.E.M.
AFG,American Financial Group Inc.,United States,NA,283660,Finance,Property-Casualty Insurers
AFI,Armstrong Flooring Inc.,NA,2016,198221,Consumer Non-Durables,Plastic Products
AFL,AFLAC Incorporated,United States,NA,1893073,Finance,Accident &Health Insurance
AGCO,AGCO Corporation,United States,NA,319051,Capital Goods,Industrial Machinery/Components
AGM,Federal Agricultural Mortgage Corporation,United States,NA,41566,Finance,Finance Companies
AGR,Avangrid Inc.,United States,2015,464950,Public Utilities,Electric Utilities: Central
AGS,PlayAGS Inc.,United States,2018,382305,Consumer Durables,Miscellaneous manufacturing industries
AGX,Argan Inc.,United States,NA,55648,Basic Industries,Engineering & Construction
AHC,A.H. Belo Corporation (TX),United States,NA,87785,Consumer Services,Newspapers/Magazines
AHH,Armada Hoffler Properties Inc.,United States,2013,234175,Finance,Real Estate
AHT,Ashford Hospitality Trust Inc,United States,2003,9226166,Consumer Services,Real Estate Investment Trusts
AIG,American International Group Inc. New,United States,NA,2719650,Finance,Property-Casualty Insurers
AIN,Albany International Corporation,United States,NA,65428,Basic Industries,Textiles
AIR,AAR Corp.,United States,NA,204041,Capital Goods,Aerospace
AIRC,Apartment Income REIT Corp.,NA,2020,1479882,Consumer Services,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc.,United States,NA,173114,Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company,United States,1994,2106490,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc.,United States,2004,339088,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co.,United States,NA,1045963,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc.,United States,NA,722803,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp.,United States,2015,81650,Consumer Services,Real Estate Investment Trusts
AKR,Acadia Realty Trust,United States,NA,566060,Consumer Services,Real Estate Investment Trusts
AL,Air Lease Corporation Class A,United States,2011,567750,Technology,Diversified Commercial Services
ALB,Albemarle Corporation,United States,NA,1290950,Basic Industries,Major Chemicals
ALEX,Alexander & Baldwin Inc. REIT Holding Company,United States,NA,249691,Consumer Services,Real Estate Investment Trusts
ALG,Alamo Group Inc.,United States,NA,40716,Capital Goods,Industrial Machinery/Components
ALK,Alaska Air Group Inc.,United States,NA,1246592,Transportation,Air Freight/Delivery Services
ALSN,Allison Transmission Holdings Inc.,United States,2012,1595557,Capital Goods,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A,NA,2019,42477,Capital Goods,Industrial Machinery/Components
ALV,Autoliv Inc.,Sweden,NA,252471,Capital Goods,Auto Parts:O.E.M.
ALX,Alexander's Inc.,United States,NA,9224,Consumer Services,Real Estate Investment Trusts
AMBC,Ambac Financial Group Inc.,United States,NA,127134,Finance,Property-Casualty Insurers
AMC,AMC Entertainment Holdings Inc. Class A,NA,2013,28673507,Consumer Services,Movies/Entertainment
AMG,Affiliated Managers Group Inc.,United States,NA,261846,Finance,Investment Managers
AMK,AssetMark Financial Holdings Inc.,United States,2019,62364,Finance,Investment Managers
AMPY,Amplify Energy Corp.,United States,2016,446134,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc.,United States,2018,193278,Energy,Coal Mining
AMRC,Ameresco Inc. Class A,United States,2010,492385,Basic Industries,Engineering & Construction
AMRX,Amneal Pharmaceuticals Inc. Class A,NA,2018,1125143,Health Care,Major Pharmaceuticals
AMT,American Tower Corporation (REIT),United States,NA,2143152,Consumer Services,Real Estate Investment Trusts
AMWL,American Well Corporation Class A,United States,2020,1762352,Miscellaneous,Business Services
ANET,Arista Networks Inc.,NA,2014,272709,Technology,Computer Communications Equipment
ANF,Abercrombie & Fitch Company,United States,NA,2451152,Consumer Services,Clothing/Shoe/Accessory Stores
ANTM,Anthem Inc.,United States,NA,857809,Health Care,Medical Specialities
AOS,A.O. Smith Corporation,United States,NA,730035,Consumer Durables,Consumer Electronics/Appliances
AP,Ampco-Pittsburgh Corporation,United States,NA,52675,Capital Goods,Fluid Controls
APAM,Artisan Partners Asset Management Inc. Class A,United States,2013,370163,Finance,Investment Managers
APD,Air Products and Chemicals Inc.,United States,NA,853623,Basic Industries,Major Chemicals
APG,APi Group Corporation,NA,2020,462788,Basic Industries,Engineering & Construction
APH,Amphenol Corporation,United States,NA,4129575,Capital Goods,Electrical Products
APO,Apollo Global Management Inc. Class A,United States,2011,2998120,Finance,Investment Managers
APRN,Blue Apron Holdings Inc. Class A,United States,2017,217584,Consumer Services,Catalog/Specialty Distribution
APTS,Preferred Apartment Communities Inc.,United States,2011,311537,Consumer Services,Real Estate Investment Trusts
AQUA,Evoqua Water Technologies Corp.,United States,2017,1156444,Technology,Industrial Machinery/Components
AR,Antero Resources Corporation,NA,2013,4167916,Energy,Oil & Gas Production
ARC,ARC Document Solutions Inc.,United States,2004,146776,Consumer Services,Professional Services
ARCH,Arch Resources Inc. Class A,United States,2016,323299,Energy,Coal Mining
ARES,Ares Management Corporation Class A,NA,2014,2640384,Finance,Investment Managers
ARL,American Realty Investors Inc.,United States,NA,3410,Finance,Real Estate
ARLO,Arlo Technologies Inc.,United States,2018,775244,Consumer Non-Durables,Consumer Electronics/Appliances
ARMK,Aramark,NA,2013,1001847,Consumer Services,Restaurants
AROC,Archrock Inc.,United States,NA,669787,Public Utilities,Natural Gas Distribution
ARW,Arrow Electronics Inc.,United States,NA,265387,Technology,Electronic Components
ASAN,Asana Inc. Class A,NA,2020,1045886,Technology,Computer Software: Prepackaged Software
ASAQ,Atlantic Street Acquisition Corp Class A,United States,2020,20740,Finance,Business Services
ASB,Associated Banc-Corp,United States,NA,1264665,Finance,Major Banks
ASC,Ardmore Shipping Corporation,NA,2013,197034,Transportation,Marine Transportation
ASGN,ASGN Incorporated,United States,1992,194152,Technology,Professional Services
ASH,Ashland Global Holdings Inc.,United States,NA,431393,Consumer Durables,Specialty Chemicals
ASIX,AdvanSix Inc.,United States,2016,106178,Basic Industries,Major Chemicals
ASPN,Aspen Aerogels Inc.,United States,2014,127611,Consumer Services,RETAIL: Building Materials
ASR,Grupo Aeroportuario del Sureste S.A. de C.V.,Mexico,NA,54601,Transportation,Aerospace
ATEN,A10 Networks Inc.,NA,2014,417546,Technology,Computer Communications Equipment
ATGE,Adtalem Global Education Inc.,United States,NA,296828,Consumer Services,Other Consumer Services
ATI,Allegheny Technologies Incorporated,United States,NA,828085,Basic Industries,Steel/Iron Ore
ATKR,Atkore Inc.,United States,2016,370451,Miscellaneous,Industrial Machinery/Components
ATO,Atmos Energy Corporation,United States,NA,563523,Public Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc.,United States,NA,188018,Consumer Non-Durables,Plastic Products
ATUS,Altice USA Inc. Class A,United States,2017,2595847,Consumer Services,Television Services
AU,AngloGold Ashanti Limited,South Africa,NA,7448973,Basic Industries,Precious Metals
AVA,Avista Corporation,United States,NA,333019,Public Utilities,Power Generation
AVB,AvalonBay Communities Inc.,United States,NA,417698,Consumer Services,Real Estate Investment Trusts
