Symbol,Name,Country,IPO Year,Volume,Sector,Industry
aa,Alcoa Corporation,NA,2016,4191643,Basic Industries,Aluminum
aan,Aarons Holdings Company Inc.,United States,2020,332463,Technology,Diversified Commercial Services
aat,American Assets Trust Inc.,United States,2011,151187,Consumer Services,Real Estate Investment Trusts
abb,ABB Ltd,Switzerland,NA,1435963,Consumer Durables,Electrical Products
abbv,AbbVie Inc.,United States,2012,8033158,Health Care,Major Pharmaceuticals
abc,AmerisourceBergen Corporation,United States,NA,765767,Health Care,Other Pharmaceuticals
abg,Asbury Automotive Group Inc,United States,2002,140108,Consumer Durables,Automotive Aftermarket
abm,ABM Industries Incorporated,United States,NA,331386,Finance,Diversified Commercial Services
abr,Arbor Realty Trust,United States,2004,769692,Consumer Services,Real Estate Investment Trusts
abt,Abbott Laboratories,United States,NA,4312998,Health Care,Major Pharmaceuticals
ac,Associated Capital Group Inc.,United States,2015,57463,Finance,Investment Bankers/Brokers/Service
aca,Arcosa Inc.,NA,2018,427842,Capital Goods,Metal Fabrications
acc,American Campus Communities Inc,United States,2004,781095,Consumer Services,Real Estate Investment Trusts
acco,Acco Brands Corporation,United States,NA,367303,Consumer Durables,Publishing
aci,Albertsons Companies Inc. Class A,United States,2020,1067378,Consumer Services,Food Chains
acic,Atlas Crest Investment Corp. Class A,United States,2020,1439801,Capital Goods,Aerospace
acii,Atlas Crest Investment Corp. II Class A,NA,2021,89210,Finance,Business Services
acm,AECOM,United States,2007,1512120,Consumer Services,Military/Government/Technical
acr,ACRES Commercial Realty Corp.,United States,NA,64844,Consumer Services,Real Estate Investment Trusts
acre,Ares Commercial Real Estate Corporation,United States,2012,575078,Consumer Services,Real Estate Investment Trusts
adc,Agree Realty Corporation,United States,NA,374925,Consumer Services,Real Estate Investment Trusts
adex,Adit EdTech Acquisition Corp.,NA,2021,8403,Finance,Business Services
adm,Archer-Daniels-Midland Company,United States,NA,1719805,Consumer Non-Durables,Packaged Foods
ads,Alliance Data Systems Corporation,United States,2001,664139,Miscellaneous,Business Services
adt,ADT Inc.,United States,2018,3015623,Consumer Services,Diversified Commercial Services
aee,Ameren Corporation,United States,NA,1239137,Public Utilities,Power Generation
aeg,AEGON N.V.,Netherlands,NA,1121654,Finance,Life Insurance
ael,American Equity Investment Life Holding Company,United States,2003,551929,Finance,Life Insurance
aem,Agnico Eagle Mines Limited,Canada,NA,1137066,Basic Industries,Precious Metals
aeo,American Eagle Outfitters Inc.,United States,NA,3678103,Consumer Services,Clothing/Shoe/Accessory Stores
aes,The AES Corporation,United States,NA,6073247,Basic Industries,Electric Utilities: Central
aeva,Aeva Technologies Inc.,NA,2020,986114,Capital Goods,Auto Parts:O.E.M.
afg,American Financial Group Inc.,United States,NA,283660,Finance,Property-Casualty Insurers
afi,Armstrong Flooring Inc.,NA,2016,198221,Consumer Non-Durables,Plastic Products
afl,AFLAC Incorporated,United States,NA,1893073,Finance,Accident &Health Insurance
agco,AGCO Corporation,United States,NA,319051,Capital Goods,Industrial Machinery/Components
agm,Federal Agricultural Mortgage Corporation,United States,NA,41566,Finance,Finance Companies
agr,Avangrid Inc.,United States,2015,464950,Public Utilities,Electric Utilities: Central
ags,PlayAGS Inc.,United States,2018,382305,Consumer Durables,Miscellaneous manufacturing industries
agx,Argan Inc.,United States,NA,55648,Basic Industries,Engineering & Construction
ahc,A.H. Belo Corporation (TX),United States,NA,87785,Consumer Services,Newspapers/Magazines
ahh,Armada Hoffler Properties Inc.,United States,2013,234175,Finance,Real Estate
aht,Ashford Hospitality Trust Inc,United States,2003,9226166,Consumer Services,Real Estate Investment Trusts
aig,American International Group Inc. New,United States,NA,2719650,Finance,Property-Casualty Insurers
ain,Albany International Corporation,United States,NA,65428,Basic Industries,Textiles
air,AAR Corp.,United States,NA,204041,Capital Goods,Aerospace
airc,Apartment Income REIT Corp.,NA,2020,1479882,Consumer Services,Real Estate Investment Trusts
ait,Applied Industrial Technologies Inc.,United States,NA,173114,Consumer Durables,Industrial Specialties
aiv,Apartment Investment and Management Company,United States,1994,2106490,Consumer Services,Real Estate Investment Trusts
aiz,Assurant Inc.,United States,2004,339088,Finance,Property-Casualty Insurers
ajg,Arthur J. Gallagher & Co.,United States,NA,1045963,Finance,Specialty Insurers
ajrd,Aerojet Rocketdyne Holdings Inc.,United States,NA,722803,Capital Goods,Military/Government/Technical
ajx,Great Ajax Corp.,United States,2015,81650,Consumer Services,Real Estate Investment Trusts
akr,Acadia Realty Trust,United States,NA,566060,Consumer Services,Real Estate Investment Trusts
al,Air Lease Corporation Class A,United States,2011,567750,Technology,Diversified Commercial Services
alb,Albemarle Corporation,United States,NA,1290950,Basic Industries,Major Chemicals
alex,Alexander & Baldwin Inc. REIT Holding Company,United States,NA,249691,Consumer Services,Real Estate Investment Trusts
alg,Alamo Group Inc.,United States,NA,40716,Capital Goods,Industrial Machinery/Components
alk,Alaska Air Group Inc.,United States,NA,1246592,Transportation,Air Freight/Delivery Services
alsn,Allison Transmission Holdings Inc.,United States,2012,1595557,Capital Goods,Auto Parts:O.E.M.
altg,Alta Equipment Group Inc. Class A,NA,2019,42477,Capital Goods,Industrial Machinery/Components
alv,Autoliv Inc.,Sweden,NA,252471,Capital Goods,Auto Parts:O.E.M.
alx,Alexander's Inc.,United States,NA,9224,Consumer Services,Real Estate Investment Trusts
ambc,Ambac Financial Group Inc.,United States,NA,127134,Finance,Property-Casualty Insurers
amc,AMC Entertainment Holdings Inc. Class A,NA,2013,28673507,Consumer Services,Movies/Entertainment
amg,Affiliated Managers Group Inc.,United States,NA,261846,Finance,Investment Managers
amk,AssetMark Financial Holdings Inc.,United States,2019,62364,Finance,Investment Managers
ampy,Amplify Energy Corp.,United States,2016,446134,Energy,Oil & Gas Production
amr,Alpha Metallurgical Resources Inc.,United States,2018,193278,Energy,Coal Mining
amrc,Ameresco Inc. Class A,United States,2010,492385,Basic Industries,Engineering & Construction
amrx,Amneal Pharmaceuticals Inc. Class A,NA,2018,1125143,Health Care,Major Pharmaceuticals
amt,American Tower Corporation (REIT),United States,NA,2143152,Consumer Services,Real Estate Investment Trusts
amwl,American Well Corporation Class A,United States,2020,1762352,Miscellaneous,Business Services
anet,Arista Networks Inc.,NA,2014,272709,Technology,Computer Communications Equipment
anf,Abercrombie & Fitch Company,United States,NA,2451152,Consumer Services,Clothing/Shoe/Accessory Stores
antm,Anthem Inc.,United States,NA,857809,Health Care,Medical Specialities
aos,A.O. Smith Corporation,United States,NA,730035,Consumer Durables,Consumer Electronics/Appliances
ap,Ampco-Pittsburgh Corporation,United States,NA,52675,Capital Goods,Fluid Controls
apam,Artisan Partners Asset Management Inc. Class A,United States,2013,370163,Finance,Investment Managers
apd,Air Products and Chemicals Inc.,United States,NA,853623,Basic Industries,Major Chemicals
apg,APi Group Corporation,NA,2020,462788,Basic Industries,Engineering & Construction
aph,Amphenol Corporation,United States,NA,4129575,Capital Goods,Electrical Products
apo,Apollo Global Management Inc. Class A,United States,2011,2998120,Finance,Investment Managers
aprn,Blue Apron Holdings Inc. Class A,United States,2017,217584,Consumer Services,Catalog/Specialty Distribution
apts,Preferred Apartment Communities Inc.,United States,2011,311537,Consumer Services,Real Estate Investment Trusts
aqua,Evoqua Water Technologies Corp.,United States,2017,1156444,Technology,Industrial Machinery/Components
ar,Antero Resources Corporation,NA,2013,4167916,Energy,Oil & Gas Production
arc,ARC Document Solutions Inc.,United States,2004,146776,Consumer Services,Professional Services
arch,Arch Resources Inc. Class A,United States,2016,323299,Energy,Coal Mining
ares,Ares Management Corporation Class A,NA,2014,2640384,Finance,Investment Managers
arl,American Realty Investors Inc.,United States,NA,3410,Finance,Real Estate
arlo,Arlo Technologies Inc.,United States,2018,775244,Consumer Non-Durables,Consumer Electronics/Appliances
armk,Aramark,NA,2013,1001847,Consumer Services,Restaurants
aroc,Archrock Inc.,United States,NA,669787,Public Utilities,Natural Gas Distribution
arw,Arrow Electronics Inc.,United States,NA,265387,Technology,Electronic Components
asan,Asana Inc. Class A,NA,2020,1045886,Technology,Computer Software: Prepackaged Software
asaq,Atlantic Street Acquisition Corp Class A,United States,2020,20740,Finance,Business Services
asb,Associated Banc-Corp,United States,NA,1264665,Finance,Major Banks
asc,Ardmore Shipping Corporation,NA,2013,197034,Transportation,Marine Transportation
asgn,ASGN Incorporated,United States,1992,194152,Technology,Professional Services
ash,Ashland Global Holdings Inc.,United States,NA,431393,Consumer Durables,Specialty Chemicals
asix,AdvanSix Inc.,United States,2016,106178,Basic Industries,Major Chemicals
aspn,Aspen Aerogels Inc.,United States,2014,127611,Consumer Services,RETAIL: Building Materials
asr,Grupo Aeroportuario del Sureste S.A. de C.V.,Mexico,NA,54601,Transportation,Aerospace
aten,A10 Networks Inc.,NA,2014,417546,Technology,Computer Communications Equipment
atge,Adtalem Global Education Inc.,United States,NA,296828,Consumer Services,Other Consumer Services
ati,Allegheny Technologies Incorporated,United States,NA,828085,Basic Industries,Steel/Iron Ore
atkr,Atkore Inc.,United States,2016,370451,Miscellaneous,Industrial Machinery/Components
ato,Atmos Energy Corporation,United States,NA,563523,Public Utilities,Oil/Gas Transmission
atr,AptarGroup Inc.,United States,NA,188018,Consumer Non-Durables,Plastic Products
atus,Altice USA Inc. Class A,United States,2017,2595847,Consumer Services,Television Services
au,AngloGold Ashanti Limited,South Africa,NA,7448973,Basic Industries,Precious Metals
ava,Avista Corporation,United States,NA,333019,Public Utilities,Power Generation
avb,AvalonBay Communities Inc.,United States,NA,417698,Consumer Services,Real Estate Investment Trusts
avd,American Vanguard Corporation ($0.10 Par Value),United States,NA,168160,Basic Industries,Agricultural Chemicals
avlr,Avalara Inc.,United States,2018,814844,Technology,Computer Software: Prepackaged Software
avns,Avanos Medical Inc.,United States,2014,136085,Health Care,Industrial Specialties
